batter,Name,Year,VBA_Rnk,AA_Rnk,Rank_avg,EVI_CQ,Diff,Timing_Rnk
543305,Aaron Hicks,2022,13,45,29,41,12,25
543305,Aaron Hicks,2023,15,28,21,13,-8,3
592450,Aaron Judge,2019,96,66,81,96,15,84
592450,Aaron Judge,2021,97,43,70,85,15,87
592450,Aaron Judge,2022,100,87,93,100,7,91
592450,Aaron Judge,2023,100,98,99,100,1,81
592450,Aaron Judge,2024,99,96,98,100,2,76
647351,Abraham Toro,2021,62,89,76,29,-47,10
647351,Abraham Toro,2022,53,85,69,33,-36,7
647351,Abraham Toro,2024,24,34,29,27,-2,49
609275,Adalberto Mondesí,2019,14,35,25,37,12,23
594807,Adam Duvall,2021,51,95,73,88,15,28
594807,Adam Duvall,2022,74,95,85,80,-5,58
594807,Adam Duvall,2023,29,100,65,75,10,80
594807,Adam Duvall,2024,37,98,67,24,-43,1
594809,Adam Eaton,2019,12,33,23,13,-10,53
594809,Adam Eaton,2021,14,4,9,15,6,83
641553,Adam Engel,2022,19,43,31,1,-30,88
624428,Adam Frazier,2019,82,45,64,47,-17,47
624428,Adam Frazier,2021,82,13,48,87,39,82
624428,Adam Frazier,2022,87,50,69,65,-4,70
624428,Adam Frazier,2023,88,84,86,77,-9,60
624428,Adam Frazier,2024,91,20,56,66,10,61
430945,Adam Jones,2019,71,41,56,42,-14,16
680718,Addison Barger,2024,40,59,50,20,-30,7
668939,Adley Rutschman,2022,90,63,77,54,-23,47
668939,Adley Rutschman,2023,87,51,69,72,3,64
668939,Adley Rutschman,2024,85,84,84,57,-27,71
666969,Adolis García,2021,51,80,65,68,3,33
666969,Adolis García,2022,44,61,52,77,25,28
666969,Adolis García,2023,44,93,68,92,24,59
666969,Adolis García,2024,28,78,53,51,-2,11
572041,AJ Pollock,2019,50,24,37,64,27,11
572041,AJ Pollock,2021,36,41,39,81,42,30
572041,AJ Pollock,2022,24,20,22,47,25,25
668731,Akil Baddoo,2021,26,97,61,67,6,75
668731,Akil Baddoo,2023,31,72,52,18,-34,11
676701,Alan Trejo,2023,91,41,66,88,22,50
546991,Albert Almora,2019,37,11,24,6,-18,36
546991,Albert Almora,2022,17,36,26,32,6,51
405395,Albert Pujols,2019,4,32,18,11,-7,42
405395,Albert Pujols,2021,13,23,18,32,14,61
405395,Albert Pujols,2022,6,33,20,72,52,39
444876,Alcides Escobar,2021,84,20,52,81,29,11
664761,Alec Bohm,2021,59,5,32,66,34,95
664761,Alec Bohm,2022,58,21,39,78,39,63
664761,Alec Bohm,2023,51,44,48,57,9,70
664761,Alec Bohm,2024,42,21,32,54,22,96
676475,Alec Burleson,2023,61,53,57,34,-23,26
676475,Alec Burleson,2024,60,55,57,42,-15,55
649557,Aledmys Díaz,2021,15,31,23,38,15,64
649557,Aledmys Díaz,2022,6,52,29,12,-17,57
