pitch_type,batter,pitcher,zone,stand,p_throws,type,estimated_woba_using_speedangle
FF,682998,622250,11,L,R,X,0.0
ST,608369,623149,8,L,R,X,0.239
FF,543760,623149,3,R,R,X,0.665
FF,608671,623149,3,L,R,X,0.153
FF,641680,623149,4,L,R,X,0.396
FF,663993,623149,8,L,R,X,0.558
FF,673962,623149,5,R,R,X,0.776
CU,677950,622250,7,L,R,X,0.453
CU,666971,622250,7,R,R,X,0.098
SI,641598,656464,1,R,R,X,0.074
SI,543760,656464,6,R,R,X,0.459
FF,665750,656464,6,L,R,X,0.275
SL,572233,622250,9,R,R,X,0.407
FF,682998,547973,13,L,L,X,0.221
FF,641680,656464,6,L,R,X,0.003
SL,663993,656464,9,L,R,X,0.047
FF,641598,668678,5,R,R,X,0.451
KC,608369,668678,13,L,R,X,0.072
FF,677950,543135,2,L,R,X,0.285
FF,608671,668678,5,L,R,X,0.032
FF,665750,668678,7,L,R,X,0.192
CU,666971,543135,3,R,R,X,0.042
FC,572233,543135,6,R,R,X,0.693
FC,682998,543135,3,L,R,X,0.01
CH,673962,668678,13,R,R,X,0.915
KC,641598,668678,9,R,R,X,0.316
FS,677950,543135,13,L,R,X,0.316
CU,666971,543135,13,R,R,X,0.033
CH,608369,668678,13,L,R,X,0.054
KC,543760,668678,6,R,R,X,0.563
FS,502054,543135,5,R,R,X,0.565
FC,672515,543135,6,R,R,X,
FF,682998,543135,4,L,R,X,0.369
FF,608671,668678,4,L,R,X,0.136
KC,665750,668678,9,L,R,X,0.306
FF,641680,668678,8,L,R,X,0.581
CU,672695,543135,5,L,R,X,0.458
FS,677950,543135,13,L,R,X,0.065
FF,666971,543135,3,R,R,X,0.222
FF,663993,668678,14,L,R,X,0.09
SL,673962,668678,6,R,R,X,0.576
FF,502054,543135,4,R,R,X,0.257
FC,672515,543135,9,R,R,X,0.153
FS,606466,543135,13,L,R,X,0.105
CH,608369,668678,13,L,R,X,0.479
FF,543760,668678,2,R,R,X,0.006
SL,572233,600917,9,R,R,X,0.003
SL,672515,600917,14,R,R,X,0.151
SL,672695,519293,8,R,L,X,0.395
SI,673962,685314,2,R,L,X,0.111
FF,608369,669194,4,L,R,X,0.552
CH,677950,608717,13,L,R,X,0.217
FF,666971,608717,1,R,R,X,0.946
FF,502054,608717,9,R,R,X,0.521
FF,572233,656271,4,R,L,X,0.878
CH,672515,656271,12,R,L,X,0.657
SL,682998,656271,2,L,L,X,0.399
CH,606466,656271,12,R,L,X,0.608
FF,608671,669194,12,L,R,X,0.18
FF,665750,669194,7,L,R,X,0.086
CH,641680,669194,8,L,R,X,0.415
FF,672695,674003,4,R,L,X,0.059
FF,656896,674003,5,R,L,X,0.094
FF,663993,669194,3,L,R,X,0.438
FF,673962,669194,3,R,R,X,0.206
SI,666971,641540,14,R,R,X,0.195
SI,502054,641540,5,R,R,X,0.282
SL,572233,641540,14,R,R,X,0.556
SL,672515,641540,14,R,R,X,0.105
FF,543760,669194,2,R,R,X,0.0
FF,608671,669194,5,L,R,X,0.314
FF,682998,571760,6,L,L,X,0.074
CH,606466,571760,14,R,L,X,0.061
CH,656896,571760,9,R,L,X,0.105
CU,665750,669194,9,L,R,X,0.014
ST,663993,669194,4,L,R,X,0.26
FF,677950,571760,2,L,L,X,0.14
FF,666971,571760,4,R,L,X,0.191
CH,572233,571760,5,R,L,X,0.432
ST,673962,669194,5,R,R,X,0.899
SL,682998,571760,7,L,L,X,0.09
FF,606466,571760,5,R,L,X,0.45
CH,672695,571760,6,R,L,X,0.043
FF,656896,571760,4,R,L,X,0.384
FF,543760,666818,3,R,R,X,0.327
FC,608671,666818,5,L,R,X,0.929
FC,641680,666818,7,L,R,X,0.051
FF,663993,669459,1,L,L,X,0.425
SL,673962,669459,9,R,L,X,0.519
FF,677950,571760,4,L,L,X,0.197
SL,666971,571760,5,R,L,X,0.794
CH,502054,571760,9,R,L,X,0.031
CH,572233,571760,9,R,L,X,0.082
SL,641598,669459,8,R,L,X,0.037
SL,608369,669459,8,L,L,X,1.647
SL,543760,612434,9,R,R,X,0.479
SI,608671,612434,8,L,R,X,0.253
SI,641680,612434,8,L,R,X,0.192
SI,673962,573009,9,R,L,X,0.783
FF,606466,571760,5,R,L,X,0.499
SI,608369,573009,3,L,L,X,0.548
SI,543760,573009,3,R,L,X,0.396
SL,672515,600917,14,R,R,X,0.079
SI,663993,685314,6,L,L,X,0.094
FF,641598,666818,3,R,R,X,1.78
SI,606466,547973,8,R,L,X,0.486
FF,672695,547973,13,R,L,X,0.898
SI,656896,547973,9,R,L,X,0.218
FF,666969,666818,4,R,R,X,0.471
FF,543760,666818,14,R,R,X,0.075
CU,502054,622250,5,R,R,X,0.889
SL,572233,622250,6,R,R,X,0.524
SL,665750,669459,13,R,L,X,0.153
FC,673962,669459,8,R,L,X,0.174
FF,663993,669459,5,L,L,X,0.665
SL,672515,592351,14,R,R,X,0.192
FF,606466,592351,5,L,R,X,0.591
CH,641680,612434,14,L,R,X,0.231
SL,641598,612434,14,R,R,X,0.276
CH,608369,694297,5,L,R,X,0.34
CU,677950,592351,6,L,R,X,0.298
SL,666971,592351,9,R,R,X,0.046
ST,543760,694297,6,R,R,X,0.578
CH,665750,694297,13,L,R,X,0.213
SL,502054,592351,9,R,R,X,0.123
SL,572233,592351,7,R,R,X,0.1
FF,641680,694297,9,L,R,X,0.012
FF,606466,453286,8,L,R,X,0.064
FC,672695,453286,14,L,R,X,0.005
CH,608369,694297,6,L,R,X,1.856
FF,543760,694297,1,R,R,X,0.291
SI,665750,694297,14,L,R,X,0.348
SI,663993,694297,8,L,R,X,0.861
FF,677950,453286,2,L,R,X,0.145
CU,666971,453286,3,R,R,X,0.008
SL,502054,453286,9,R,R,X,0.878
FF,572233,453286,3,R,R,X,1.759
FF,641680,694297,2,L,R,X,0.034
SI,641598,694297,11,R,R,X,0.163
SL,672515,453286,6,R,R,X,0.056
FC,682998,453286,5,L,R,X,0.095
CH,666969,694297,8,R,R,X,0.841
SI,608369,694297,4,L,R,X,0.125
FF,543760,694297,3,R,R,X,0.028
FF,641598,666818,1,R,R,X,0.65
CU,608369,685314,7,L,L,X,0.82
SI,543760,685314,3,R,L,X,0.189
CH,656896,527048,9,R,L,X,0.418
CU,677950,527048,4,L,L,X,0.083
CH,666971,527048,14,R,L,X,0.802
SI,607054,527048,8,L,L,X,0.083
FC,572233,527048,5,R,L,X,0.85
CU,665750,685314,8,R,L,X,0.517
SI,673962,685314,7,R,L,X,0.363
CU,663993,685314,9,L,L,X,0.586
SI,682998,527048,5,L,L,X,0.53
CH,606466,527048,14,R,L,X,0.389
FF,666971,608717,2,R,R,X,
FF,502054,608717,5,R,R,X,0.839
SL,641598,518876,6,R,R,X,0.069
SI,572233,641540,8,R,R,X,0.232
FF,682998,571760,2,L,L,X,0.563
CH,606466,571760,14,R,L,X,0.088
FF,672695,571760,12,R,L,X,
CU,677950,656756,8,L,L,X,0.552
SI,502054,656756,5,R,L,X,0.624
CH,572233,656756,9,R,L,X,0.022
CH,672515,656756,13,R,L,X,0.153
CH,665750,518876,13,L,R,X,0.257
CH,673962,518876,14,R,R,X,0.171
CU,663993,518876,5,L,R,X,1.494
CH,641680,518876,8,L,R,X,0.069
SI,641598,518876,13,R,R,X,1.472
SI,682998,656756,3,L,L,X,0.004
CH,606466,656756,14,R,L,X,0.1
FF,672695,656756,5,R,L,X,0.708
CH,666969,518876,7,R,R,X,0.136
SI,608369,518876,4,L,R,X,0.273
CH,543760,518876,4,R,R,X,0.103
CU,677950,656756,6,L,L,X,0.26
FF,666971,656756,4,R,L,X,0.764
SI,502054,656756,14,R,L,X,0.174
CU,572233,656756,5,R,L,X,0.269
SI,672515,656756,2,R,L,X,1.212
SI,682998,656756,6,L,L,X,0.085
SI,673962,518876,7,R,R,X,0.299
FF,606466,656756,4,R,L,X,0.005
CU,672695,656756,14,R,L,X,0.071
SI,677950,656756,6,L,L,X,0.954
FC,641680,518876,2,L,R,X,0.801
SI,641598,518876,1,R,R,X,0.004
CH,666969,518876,14,R,R,X,0.048
CU,666971,656756,12,R,L,X,0.18
CH,502054,656756,14,R,L,X,0.244
FF,572233,656756,4,R,L,X,0.047
CH,608369,518876,7,L,R,X,0.071
CH,672515,656756,5,R,L,X,0.041
SI,682998,656756,7,L,L,X,0.118
CU,606466,656756,14,R,L,X,0.056
SI,666969,612434,8,R,R,X,1.835
SL,677950,600917,8,L,R,X,0.003
SL,502054,600917,3,R,R,X,0.107
SL,608369,669459,7,L,L,X,0.058
FC,543760,669459,4,R,L,X,0.609
FF,673962,669459,2,R,L,X,0.111
SL,572233,600917,14,R,R,X,0.003
FF,606466,600917,14,L,R,X,0.385
FF,608369,623149,2,L,R,X,1.883
SL,682998,519293,4,L,L,X,0.846
FF,672695,519293,5,R,L,X,0.063
SI,673962,656464,11,R,R,X,0.071
FF,663993,656464,6,L,R,X,0.138
SL,666969,656464,14,R,R,X,0.429
FF,666971,592351,7,R,R,X,0.88
FF,543760,573009,1,R,L,X,0.115
FF,672515,592351,14,R,R,X,0.536
CH,606466,674003,6,R,L,X,0.1
CH,682998,674003,5,L,L,X,0.239
FF,665750,657044,12,L,R,X,0.003
SI,673962,657044,4,R,R,X,0.519
SI,663993,657044,9,L,R,X,1.06
SI,641598,657044,6,R,R,X,0.104
FF,672695,674003,14,R,L,X,0.592
CH,677950,641540,13,L,R,X,0.163
SL,666971,641540,13,R,R,X,0.059
SL,666969,668678,9,R,R,X,0.517
KC,608369,668678,7,L,R,X,0.078
SI,502054,641540,6,R,R,X,0.13
FS,672515,543135,9,R,R,X,0.16
CU,606466,543135,8,L,R,X,1.179
FF,672695,543135,4,L,R,X,0.885
CH,543760,668678,8,R,R,X,0.223
SL,673962,668678,6,R,R,X,0.926
FF,663993,668678,3,L,R,X,0.023
CU,677950,543135,4,L,R,X,0.18
FF,666971,543135,8,R,R,X,0.068
FS,502054,543135,4,R,R,X,1.212
CH,641680,668678,13,L,R,X,0.008
FS,606466,543135,13,L,R,X,0.332
FS,682998,543135,8,L,R,X,0.908
FS,672695,543135,9,L,R,X,
FS,677950,543135,7,L,R,X,0.304
CH,663993,668678,13,L,R,X,0.063
CH,641680,668678,7,L,R,X,0.068
SL,641598,668678,6,R,R,X,0.033
KC,666969,668678,8,R,R,X,0.85
CH,543760,668678,7,R,R,X,0.211
CU,606466,543135,14,L,R,X,0.14
FS,682998,543135,8,L,R,X,0.24
FF,669016,623149,11,L,R,X,0.231
FF,592206,623149,4,R,R,X,0.072
FC,672695,621381,13,R,L,X,0.747
ST,656896,554430,8,R,R,X,0.051
FC,656976,554430,8,L,R,X,0.032
ST,666971,554430,9,R,R,X,0.6
FF,677950,554430,12,L,R,X,0.087
FF,547180,656464,5,L,R,X,0.585
SL,607208,656464,6,R,R,X,0.141
SI,682998,621237,3,L,L,X,0.041
SI,606466,621237,2,R,L,X,0.398
FC,672695,621237,13,R,L,X,0.624
